sample	taxon	site	plant_height	inflorescence_length	number_of_flowers	fruit_set
Coriophora_PO_1	A._c._coriophora	Sournia	31.5	6.5	14	30.77
Coriophora_PO_2	A._c._coriophora	Sournia	25.5	6	17	68.75
Coriophora_PO_3	A._c._coriophora	Sournia	32.5	6	19	38.89
Coriophora_PO_4	A._c._coriophora	Sournia	25.5	5	14	46.15
Coriophora_PO_5	A._c._coriophora	Sournia	31	6.5	18	35.29
Coriophora_PO_6	A._c._coriophora	Sournia	22	5	12	81.82
Coriophora_PO_7	A._c._coriophora	Sournia	24	8.5	18	100
Coriophora_PO_8	A._c._coriophora	Sournia	25	6.5	12	100
Coriophora_PO_9	A._c._coriophora	Sournia	28.5	6.5	16	86.67
Coriophora_PO_10	A._c._coriophora	Sournia	30.5	6	21	100
Coriophora_PO_11	A._c._coriophora	Sournia	28	6	13	83.33
Coriophora_PO_12	A._c._coriophora	Sournia	26	7	20	100
Coriophora_PO_13	A._c._coriophora	Sournia	24.5	5	12	90.91
Coriophora_PO_14	A._c._coriophora	Sournia	27	7	18	88.24
Coriophora_PO_15	A._c._coriophora	Sournia	30.5	7.5	23	82.61
Coriophora_PO_16	A._c._coriophora	Sournia	19	5.5	13	91.67
Coriophora_PO_17	A._c._coriophora	Sournia	17.5	4.5	13	50
Coriophora_PO_18	A._c._coriophora	Sournia	29	7	20	89.47
Coriophora_PO_19	A._c._coriophora	Sournia	26	5	13	16.67
Coriophora_PO_20	A._c._coriophora	Sournia	27	6.5	15	92.86
Coriophora_PO_21	A._c._coriophora	Sournia	30	6	12	100
Coriophora_PO_22	A._c._coriophora	Sournia	23	5.5	16	93.33
Coriophora_PO_23	A._c._coriophora	Sournia	32.5	8.5	22	90.48
Coriophora_PO_24	A._c._coriophora	Sournia	26.5	8	19	94.44
Coriophora_PO_25	A._c._coriophora	Sournia	28.5	7	15	100
Coriophora_PO_26	A._c._coriophora	Sournia	22.5	5	12	90.91
Coriophora_PO_27	A._c._coriophora	Sournia	35.5	6.5	19	94.44
Coriophora_PO_28	A._c._coriophora	Sournia	25	6.5	16	60
Coriophora_PO_29	A._c._coriophora	Sournia	30.5	6.5	24	100
Coriophora_PO_30	A._c._coriophora	Sournia	24	7.5	13	58.33
Coriophora_PO_31	A._c._coriophora	Sournia	24.5	7.5	20	89.47
Coriophora_PO_32	A._c._coriophora	Sournia	30.5	5	16	100
Coriophora_PO_33	A._c._coriophora	Sournia	30	6.7	17	93.75
Coriophora_PO_34	A._c._coriophora	Sournia	28	7	34	45.45
Coriophora_PO_35	A._c._coriophora	Sournia	26.5	6.5	13	100
Coriophora_PO_36	A._c._coriophora	Sournia	31	6.5	17	100
Coriophora_PO_37	A._c._coriophora	Sournia	34.5	8.5	18	94.12
