sample	taxon	site	total_emission_rate	hexanal	(Z)-hex-3-en-1-ol	6-methylhept-5-en-2-one	myrcene	methylisohexanoate	(Z)-hex-3-enylacetate	p-methylanisole	2-ethylhexan-1-ol	p-cymene	limonene	1,8-cineole	?-terpinene	heptanoic_acid	(E)-linalool_oxide_(furanoid)	5-methyl-?-valerolactone	methylbenzoate	Unknown_1	nonanal	Unknown_2	2-phenylethan-1-ol	1,4-dimethoxybenzene	(E)-linalool_oxide_(pyranoid)	4,5-dimethyl-?-_valerolactone	dodecane	decanal	nonanoic_acid	p-anisaldehyde	decan-1-ol	(2E,_4Z)-decadienal	tridecane	methyl-4-decenoate	undecanal	(Z)-methylcinnamate	(2E,_4E)-decadienal	1,2,4-trimethoxybenzene	2-(4-methoxyphenyl)-ethan-1-ol	methyl-p-anisate	Unknown_3	(E)-methylcinnamate	dodecanal	(2,4)-methyldecadienoate	geranylacetone	3-acetylcyclohexylacetate	dodecan-1-ol	pentadecene	pentadecane	tridecanal	1,2,3,5-tetramethoxybenzene	
Coriophora_PO_1	A._c._coriophora	Sournia	318.60	1.18	0.00	2.42	1.53	0.00	5.69	0.64	4.08	0.00	0.73	0.00	0.00	1.71	3.39	0.43	3.37	0.00	7.40	0.00	0.05	225.70	0.00	0.00	0.06	8.62	0.00	0.00	0.00	5.07	0.00	0.00	1.44	0.00	1.17	17.62	0.00	17.14	0.03	0.00	1.06	0.36	1.91	0.00	3.12	0.40	0.96	0.56	0.77	
Coriophora_PO_2	A._c._coriophora	Sournia	184.79	2.67	0.00	1.29	3.72	0.00	5.65	2.54	4.76	0.00	1.43	0.00	0.00	0.50	7.36	0.46	4.35	0.00	8.45	0.00	0.18	93.80	1.36	0.00	0.36	10.03	0.00	0.00	0.00	1.97	0.00	0.00	1.72	0.00	0.96	15.34	0.00	4.38	0.41	0.00	1.07	1.75	0.49	0.00	2.88	0.50	1.16	0.67	2.57	
Coriophora_PO_3	A._c._coriophora	Sournia	59.61	0.11	0.00	0.80	0.42	0.00	1.97	0.44	1.45	0.00	0.23	0.00	0.00	0.14	0.53	0.10	0.22	0.00	2.82	0.00	0.05	25.59	0.29	0.00	0.16	4.71	0.00	0.00	0.00	1.95	0.00	0.00	0.97	0.00	0.80	4.82	0.00	1.71	0.34	0.00	0.72	1.17	1.25	0.00	3.61	0.62	0.73	0.52	0.39	
Coriophora_PO_4	A._c._coriophora	Sournia	220.61	0.96	0.00	1.78	0.36	0.00	3.37	0.29	2.28	0.00	0.24	0.00	0.00	0.40	0.42	0.15	0.32	0.00	4.24	0.00	0.00	159.03	0.00	0.00	0.41	6.21	0.00	0.00	0.00	3.58	0.00	0.00	1.18	0.00	1.68	7.62	0.00	18.87	0.23	0.00	0.61	0.41	2.38	0.00	1.56	0.52	0.50	0.46	0.56	
Coriophora_PO_5	A._c._coriophora	Sournia	976.56	2.35	0.00	5.10	1.08	0.00	9.89	2.34	4.25	0.00	0.66	0.00	0.00	1.17	1.19	0.53	2.67	0.00	13.02	0.00	0.00	760.20	0.00	0.00	0.50	18.35	0.00	0.00	0.00	17.14	0.00	0.00	3.59	0.00	3.97	74.88	0.00	23.23	1.92	0.00	1.62	7.09	10.39	0.00	3.08	0.41	1.28	0.83	3.83	
Coriophora_PO_6	A._c._coriophora	Sournia	103.81	0.23	0.00	3.02	1.57	0.00	3.79	0.37	1.64	0.00	0.40	0.00	0.00	0.26	0.56	0.14	0.21	0.00	5.73	0.00	0.19	48.86	0.13	0.00	1.17	7.94	0.00	0.00	0.00	2.41	0.00	0.00	1.36	0.00	0.96	11.28	0.00	1.22	0.08	0.00	0.80	0.79	2.30	0.00	4.19	0.24	0.83	0.55	0.61	
Coriophora_PO_7	A._c._coriophora	Sournia	47.18	0.36	0.00	1.68	0.46	0.00	2.26	0.35	1.83	0.00	0.23	0.00	0.00	0.41	0.16	0.17	0.32	0.00	3.96	0.00	0.12	8.54	0.04	0.00	0.97	4.01	0.00	0.00	0.00	1.37	0.00	0.00	0.96	0.00	0.84	1.44	0.00	8.29	0.05	0.00	0.70	0.00	1.63	0.00	4.55	0.01	0.70	0.53	0.23	
Coriophora_PO_8	A._c._coriophora	Sournia	48.45	0.24	0.00	2.34	0.52	0.00	3.65	0.85	2.26	0.00	0.29	0.00	0.00	0.83	0.47	0.11	1.42	0.00	4.38	0.00	0.29	9.11	0.18	0.00	1.65	6.67	0.00	0.00	0.00	0.96	0.00	0.00	1.25	0.00	0.31	1.23	0.00	2.50	0.11	0.00	0.81	0.57	1.46	0.00	2.36	0.27	0.82	0.49	0.04	
Coriophora_PO_9	A._c._coriophora	Sournia	122.55	1.29	0.00	2.37	0.51	0.00	4.03	0.78	2.11	0.00	0.21	0.00	0.00	0.14	1.95	0.51	1.12	0.00	5.57	0.00	0.08	45.63	0.30	0.00	0.93	7.05	0.00	0.00	0.00	8.39	0.00	0.00	1.32	0.00	2.95	10.44	0.00	18.92	0.11	0.00	0.68	0.00	1.87	0.00	1.11	0.42	0.58	0.50	0.69	
Coriophora_PO_10	A._c._coriophora	Sournia	67.37	1.91	0.00	0.92	0.41	0.00	1.97	0.73	1.40	0.00	0.18	0.00	0.00	1.02	0.36	0.17	0.23	0.00	3.90	0.00	0.16	40.78	0.00	0.00	0.81	4.47	0.00	0.00	0.00	1.01	0.00	0.00	0.87	0.00	0.25	1.34	0.00	0.49	0.10	0.00	0.51	0.00	0.76	0.00	1.17	0.33	0.53	0.37	0.22	
