plant_ID	treat	date_flow	CW	CH	CA	SL	pl_height	nb_tot_fl	nb_fr	fruit_set	FM	fitness	sample_day	sc_sample_N	sc_sample_D	nb_open_fl_N	nb_open_fl_D	beta_myrcene_D	amyl_acetate_D	heptanal_D	hexyl_acetate_D	6_methyl_5_hepten_2_one_D	1_hexanol_D	heptyl_acetate_D	2_ethylhexylacetate_D	cyclosativene_D	benzaldehyde_D	unknown_1_D	nonyl_acetate_D	alpha_santalene_D	trans_alpha_bergamotene_D	phenylacetaldehyde_D	decyl_acetate_D	alpha_terpineol_D	Z_5_dodecenal_D	benzyl_acetate_D	ZE_alpha_farnesene_D	trans_geraniol_D	decanol_D	3_4_dimethoxytoluene_D	decen_1_ol_D	2_phenylethylacetate_D	benzyl_alcohol_D	dodecyl_acetate_D	2_phenylethanol_D	Z_5_dodecenyl_acetate_D	phenylpropyl_acetate_D	methyleugenol_D	benzenepropanol_D	p_cresol_D	Z_methylisoeugenol_D	tetradecyl_acetate_D	hexadecanal_D	2_aminobenzaldehyde_D	eugenol_D	1_tetradecanol_D	E_methylisoeugenol_D	tetradecen_1_ol_D	elemicin_D	asarone_D	hexadecyl_acetate_D	E_isoeugenol_D	Z_11_hexadecenyl_acetate_D	1_hexadecanol_D	isoelemicin_D	methylvanillin_D	hexadecen_1_ol_D	indole_D	unknown_2_D	3_4_5_trimethoxybenzaldehyde_D	vanillin_D	sem_inflo_D	sem_per_fl_D	beta_myrcene_N	amyl_acetate_N	heptanal_N	hexyl_acetate_N	6_methyl_5_hepten_2_one_N	1_hexanol_N	heptyl_acetate_N	2_ethylhexylacetate_N	cyclosativene_N	benzaldehyde_N	unknown_1_N	nonyl_acetate_N	alpha_santalene_N	trans_alpha_bergamotene_N	phenylacetaldehyde_N	decyl_acetate_N	alpha_terpineol_N	Z_5_dodecenal_N	benzyl_acetate_N	ZE_alpha_farnesene_N	trans_geraniol_N	decanol_N	3_4_dimethoxytoluene_N	decen_1_ol_N	2_phenylethylacetate_N	benzyl_alcohol_N	dodecyl_acetate_N	2_phenylethanol_N	Z_5_dodecenyl_acetate_N	phenylpropyl_acetate_N	methyleugenol_N	benzenepropanol_N	p_cresol_N	Z_methylisoeugenol_N	tetradecyl_acetate_N	hexadecanal_N	2_aminobenzaldehyde_N	eugenol_N	1_tetradecanol_N	E_methylisoeugenol_N	tetradecen_1_ol_N	elemicin_N	asarone_N	hexadecyl_acetate_N	E_isoeugenol_N	Z_11_hexadecenyl_acetate_N	1_hexadecanol_N	isoelemicin_N	methylvanillin_N	hexadecen_1_ol_N	indole_N	unknown_2_N	3_4_5_trimethoxybenzaldehyde_N	vanillin_N	sem_inflo_N	sem_per_fl_N
3	C	167	11.29	7.08	79.9332	13.13	165	6	3	0.5	4.076666667	12.23	D7	S714	S664	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007607629	0	0	0	0	0	0	0	0	0	0	0	0	0.029747923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037355552	0.012451851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00466444	0	0	0	0	0	0	0	0	0	0	0	0	0.016742131	0	0	0	0	0	0	0	0	0	0	0.007398315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028804886	0.028804886
5	C	164	12.29	7.79	95.7391	9.57	202	14	7	0.5	5.336666667	37.35666667	D4	S360	S308	13	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.120218312	0	0	0	0	0	0	0	0	0	0.003247377	0.002595897	0	0.134988166	0.007428189	0	0.003644251	0	0	0	0	0	0.003316168	0	0.032387544	0	0	0.003774795	0	0	0	0	0	0	0.009637624	0	0.010164498	0.004740942	0	0	0.336143763	0.025857213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.095764503	0	0	0	0	0	0	0	0	0	0	0	0	0.099673422	0	0	0	0	0	0	0	0	0.004205537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004920572	0	0	0.204564034	0.015735695
7	C	165	12.58	7.9	99.382	12.4	263	25	22	0.88	7.226666667	158.9866667	D4	S361	S309	19	19	0	0	0	0	0	0	0	0	0	0.030153011	0	0	0	0	0.391029967	0	0	0	0	0.002194524	0	0.00579018	0	0	0.007413724	0.01056584	0	0.440908047	0.022381516	0	0.054552741	0	0.002301006	0.018780964	0.009183719	0.006760047	0.016246346	0.0207886	0.164571289	0.075643236	0	0.040422297	0.025543997	0.006547823	0	0	0.025247664	0.029458671	0.046523904	0.012162171	0.13956306	0.022538036	0.053191421	0.00675129	1.687215091	0.088800794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042142876	0.013633925	0	0	0	0	0	0	0	0	0	0	0	0.061062566	0	0	0	0	0	0	0	0	0.004258139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121097506	0.006373553
9	C	164	10.25	5.34	54.735	12.23	178	25	11	0.44	5.473333333	60.20666667	D4	S362	S310	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066701021	0	0	0	0	0	0	0.006043248	0.000754895	0	0.002877753	0	0	0.13121553	0.005958846	0	0.016115327	0	0	0	0	0	0.003762922	0.007398856	0.028846772	0	0	0.01966628	0	0	0	0	0.01666066	0	0	0	0.011128641	0.006997552	0.019576722	0	0.343705025	0.019094724	0	0	0	0.007938035	0	0	0	0	0	0	0	0	0	0	0.422311905	0	0	0	0	0	0	0	0	0	0.003464522	0.002965473	0	0.186958618	0	0	0.032603282	0	0.003768691	0	0	0	0.07068424	0.126009544	0.008402302	0	0	0.011343061	0	0	0	0	0	0	0	0	0.053285605	0.021327244	0.011111706	0	0.962174228	0.053454124
10	HP	163	11.17	7.61	85.0037	14.78	180	14	13	0.928571429	9.196666667	119.5566667	D4	S363	S311	11	11	0	0	0	0.030382314	0	0	0	0	0	0	0	0	0	0	0.001513028	0	0	0	0	0	0	0	0	0	0.018482963	0	0	0.008808665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05918697	0.005380634	0	0	0	0.022522301	0	0	0.003198394	0	0	0	0	0	0	0	0.048352198	0	0	0	0	0	0	0	0	0	0.075747618	0	0	0.054141149	0	0	0	0	0	0	0	0	0.007011643	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021259737	0.015633274	0.007393445	0	0.255259759	0.023205433
11	C	162	14.58	8.75	127.575	15.05	224	23	19	0.826086957	9.703333333	184.3633333	D1	S52	S1	22	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.158263175	0	0	0	0	0	0	0.005700148	0.000880896	0	0.005181983	0.007238587	0	0.374123604	0	0	0	0	0	0	0	0	0.002485783	0	0.037817335	0	0	0.003566256	0.0089489	0	0	0	0.024065317	0	0.009001094	0.005320507	0.004847544	0.003851573	0.017126061	0	0.668418763	0.039318751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.363204409	0	0	0	0	0	0	0	0	0	0.002542774	0.004256085	0	0.129820465	0	0	0	0	0	0	0	0	0.004401388	0	0	0	0	0	0	0	0	0	0	0	0.004497156	0	0.007604353	0.012704646	0	0	0.529031276	0.024046876
12	HP	162	11.16	7.68	85.7088	15.39	282	31	31	1	8.303333333	257.4033333	D1	S53	S2	23	23	0	0	0	0	0	0	0	0.00158114	0	0	0	0	0	0.006773536	0.029753948	0	0	0	0	0	0	0.005928238	0	0	0.00188462	0.00487063	0	0.162426221	0.007351647	0	0	0	0	0	0	0.003626444	0.003837107	0	0.051899404	0	0	0.004746849	0.002172708	0	0	0	0.023426406	0.004602672	0	0.011580163	0.002486139	0.003068161	0.005617061	0	0.337633094	0.0146797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.129003391	0	0	0	0	0	0	0	0	0	0.004651222	0.00674256	0	0.335385614	0	0	0.012424134	0	0	0	0	0	0.07692756	0	0	0.005539455	0	0.010575955	0	0	0	0	0	0.018397056	0.005697867	0	0.196662609	0.008448562	0.025290865	0.009744319	1.845491169	0.080238746
14	HP	160	12.64	10.07	127.2848	16.29	245	21	21	1	8.6	180.6	D1	S58	S7	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024430132	0	0.001921347	0	0	0	0	0	0	0	0	0.010111216	0	0.098596275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13505897	0.008441186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.254345563	0	0	0	0	0	0	0	0	0	0.003353243	0.004562587	0	0.139376686	0	0	0.011010958	0	0.006986119	0	0	0	0.010509164	0	0	0	0	0.003266747	0	0	0	0	0	0	0	0	0.018699839	0.007077526	0	0	0.459188432	0.028699277
15	C	163	12.46	8.57	106.7822	16.04	210	22	19	0.863636364	5.836666667	110.8966667	D1	S55	S4	15	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037441987	0	0	0	0	0	0	0.006309915	0.001612027	0	0.001624144	0.005455522	0	0.102545122	0.006732833	0	0	0	0.002351302	0	0	0	0.002746573	0	0.01826856	0	0	0.002180657	0	0	0	0	0.013357497	0	0	0.005461136	0	0	0	0	0.206087275	0.01472052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.228678638	0	0	0	0	0	0	0	0	0	0.002372254	0	0	0.114081573	0	0	0.014458827	0	0	0	0	0	0.031523105	0	0	0	0	0.0091911	0	0	0	0	0	0	0.008566701	0	0.02573792	0.020597186	0.011468469	0	0.466675773	0.031111718
16	HP	163	10.88	8.07	87.8016	13.2	240	21	21	1	9.783333333	205.45	D4	S364	S312	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
