PlantID	Year	Region	Population	NrFruits	RelfRS	PlantHeight_cm	InflorescenceLength_cm	NrFlowers	Z3Hexen1Ol_ngPerL	Styrene_ngPerL	Heptanal_ngPerL	alphaPinene_ngPerL	Benzaldehyde_ngPerL	Sabinene_ngPerL	betaPinene_ngPerL	6Methyl5Hepten2One_ngPerL	Z3HexenylAcetate_ngPerL	HexylAcetate_ngPerL	Limonene_ngPerL	BenzylAlcohol_ngPerL	Phenylacetaldehyde_ngPerL	PhenylethylAlcohol_ngPerL	BenzylAcetate_ngPerL	1Phenyl12Propanedione_ngPerL	Phenylethylacetate_ngPerL	1Phenyl23Butanedione_ngPerL	Eugenol_ngPerL	MethylEugenol_ngPerL	GeranylAcetone_ngPerL	Benzylbenzoate_ngPerL	ColourCode	Z_PlantHeight	Z_InflorescenceLength	Z_NrFlowers	Z_Z3Hexen1Ol	Z_Styrene	Z_Heptanal	Z_alphaPinene	Z_Benzaldehyde	Z_Sabinene	Z_betaPinene	Z_6Methyl5Hepten2One	Z_Z3HexenylAcetate	Z_HexylAcetate	Z_Limonene	Z_BenzylAlcohol	Z_Phenylacetaldehyde	Z_PhenylethylAlcohol	Z_BenzylAcetate	Z_1Phenyl12Propanedione	Z_Phenylethylacetate	Z_1Phenyl23Butanedione	Z_Eugenol	Z_MethylEugenol	Z_GeranylAcetone	Z_Benzylbenzoate	Z_ColourCode	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC1A	PC2A	PC3A	PC4A	PC5A	PC6A	PC7A
10DGo001	2010	lowland	Doettingen	19	1.22202600	46	11	62	27.64888900	29.54555500	19.63777800	61.59312500	477.19207500	207.48444400	20.29777800	460.55741200	215.60686900	4.68436000	340.59741500	16.90493800	1194.28945300	155.68074900	210.94005600	1.17873800	690.63665000	16.29333300	31.59020600	0.44888900	4.59448100	0.00000000	NA	0.11901500	0.79532200	-0.67156100	-0.02955000	0.25207400	-0.68010300	-0.51253700	-1.27264900	-0.21575300	-0.54703700	-0.86017600	-0.52867200	-0.32272600	-0.02216300	-0.74741100	-0.95855600	-0.46923500	-0.92743400	-1.07122700	-0.52601700	-0.79162100	-0.66529800	-0.44023500	-0.47162200	-0.41790000	NA	-0.93018300	-0.16322900	0.17954400	-0.43670400	-0.42714900	-0.24930200	-0.25149300	NA	NA	NA	NA	NA	NA	NA
10DGo003	2010	lowland	Doettingen	7	0.45022000	41	7	40	25.97333300	29.71746600	23.22444400	117.21982800	973.61348300	851.95333300	91.51777800	547.79782800	971.31286500	9.17950700	391.84439800	12.90799100	2480.71934200	102.48169500	397.69820300	2.31940300	691.75664000	29.96888900	14.10104000	0.04444400	3.65460500	0.00000000	NA	-0.51981400	-0.85172800	-1.57409500	-0.08372800	0.25640100	-0.45610900	0.29462000	-0.39300800	1.32449600	0.75423600	-0.62262600	0.76856000	-0.08236200	0.10544800	-0.77526900	0.64874700	-0.61007000	-0.35318500	-0.62128000	-0.52390600	-0.54951700	-0.83780200	-0.50944600	-0.78076700	-0.41790000	NA	-0.22334000	1.00050000	-1.02678400	-0.64612400	-0.82598900	0.27182900	-0.52359200	NA	NA	NA	NA	NA	NA	NA
10DGo005	2010	lowland	Doettingen	3	0.19295200	49	8	61	6.96222200	25.66899600	22.45777800	112.30021600	1221.18488300	391.34000000	58.38444400	577.78839100	68.74112900	2.93811000	278.54861100	23.25063200	2926.72426200	212.22759700	566.81210200	3.98535900	1057.84376200	88.67555600	28.77735300	4.23333300	5.69357300	2.55331000	NA	0.50231200	-0.43996500	-0.71258600	-0.69843600	0.15451500	-0.50398900	0.22323500	0.04568000	0.22365300	0.14885100	-0.54096400	-0.78077900	-0.41610100	-0.17667200	-0.70318300	1.20599800	-0.31953600	0.16681100	0.03587300	0.16620500	0.48979100	-0.69304300	0.20738100	-0.11010600	-0.08256700	NA	0.57077600	0.20151300	-0.31857800	-0.82736200	-0.35432600	-0.89894600	-0.03212200	NA	NA	NA	NA	NA	NA	NA
10DGo006	2010	lowland	Doettingen	2	0.12863400	50	7	42	10.12222200	18.66913900	16.32666700	31.71074700	759.94474500	278.68888900	55.64000000	592.40699600	293.70907600	3.86960300	235.16376900	26.23022500	2045.44625300	84.55687100	180.17464700	5.93369800	373.21014400	54.15555600	50.40718800	0.34000000	8.38161600	0.00000000	NA	0.63007800	-0.85172800	-1.49204700	-0.59626000	-0.02164800	-0.88688800	-0.94613700	-0.77162100	-0.04557800	0.09870700	-0.50115800	-0.39460300	-0.36629300	-0.28470500	-0.68241600	0.10490400	-0.65752300	-1.02203200	0.80441400	-1.12439800	-0.12133100	-0.47969700	-0.45886900	0.77405100	-0.41790000	NA	-0.30698300	-0.26220900	-0.81523600	-0.45350600	0.25154900	-0.70860400	-0.40420500	NA	NA	NA	NA	NA	NA	NA
10DGo007	2010	lowland	Doettingen	30	1.92951500	46	9	72	11.64222200	26.60146100	15.51777800	105.38530600	889.14410800	2216.80666700	184.38000000	235.64318900	145.23471100	4.59755000	1638.23771400	19.27642300	1004.79555300	71.51291000	644.49326500	3.64858300	782.26375500	84.67555600	51.84534700	0.05777800	1.89472200	0.00000000	NA	0.11901500	-0.02820300	-0.26131900	-0.54711300	0.17798200	-0.93740500	0.12289800	-0.54268500	4.58642800	2.45093900	-1.47260200	-0.64947200	-0.32736800	3.20911600	-0.73088200	-1.19531500	-0.69205500	0.40566700	-0.09697200	-0.35329100	0.41897700	-0.46551200	-0.50716500	-1.35963200	-0.41790000	NA	-0.38342200	3.69492600	-0.06793100	-0.51545200	-2.29589600	-0.67778300	-0.40071800	NA	NA	NA	NA	NA	NA	NA
10DGo008	2010	lowland	Doettingen	2	0.12863400	50	9	76	10.73333300	34.68298800	21.18000000	97.87305200	277.95827700	461.32888900	50.67555600	607.30484100	228.93624400	3.32249700	451.43219600	36.78730200	1181.47362400	102.86563500	230.05450700	1.56512700	563.11152000	1.61777800	17.17581100	0.09333300	4.41357900	0.00000000	NA	0.63007800	-0.02820300	-0.09722200	-0.57650100	0.38136600	-0.58378900	0.01389300	-1.62568500	0.39092300	0.00800100	-0.46059200	-0.50579100	-0.39554700	0.25382900	-0.60883600	-0.97456800	-0.60905400	-0.86866000	-0.91881200	-0.76641500	-1.05142800	-0.80747400	-0.50108000	-0.53112400	-0.41790000	NA	-1.10190900	0.47138400	0.27625100	-0.43700700	-0.35204400	-0.53554200	-0.36783100	NA	NA	NA	NA	NA	NA	NA
10DGo009	2010	lowland	Doettingen	4	0.25726900	34	8	59	28.69111100	31.91160300	19.34222200	45.67717200	1276.39448200	2126.89333300	375.23777800	218.80515300	360.04418500	5.12396300	1060.15581200	48.01297200	3196.88415300	364.97345800	553.09282200	3.71870200	1270.68959700	117.43777800	59.23538200	0.26444400	2.75783200	2.01893200	NA	-1.41417500	-0.43996500	-0.79463400	0.00414900	0.31162000	-0.69856100	-0.74348100	0.14350900	4.37153900	5.93813700	-1.51845100	-0.28073300	-0.29922000	1.76962300	-0.53059600	1.54354300	0.08483300	0.12462700	-0.06931300	0.56744000	0.99898000	-0.39262100	-0.47179900	-1.07573600	-0.15274800	NA	0.37055400	4.10073500	-1.15485800	-0.14080800	-2.38655500	-0.46272600	-0.49718800	NA	NA	NA	NA	NA	NA	NA
10DGo010	2010	lowland	Doettingen	29	1.86519800	44	6	53	12.02666700	15.25036300	13.22444400	96.21503900	435.44960200	693.31111100	88.58222200	782.69181300	168.61807900	3.89170400	271.42124300	16.74593000	1857.44227300	117.43430500	250.04503700	1.53968300	569.58042100	27.71777800	25.45011200	10.15111100	7.36458300	17.07210900	NA	-0.13651700	-1.26349100	-1.04078000	-0.53468200	-0.10768700	-1.08062800	-0.01016500	-1.34661500	0.94534900	0.70060000	0.01697500	-0.60933200	-0.36511100	-0.19442000	-0.74851900	-0.12999400	-0.57048600	-0.80719300	-0.92884900	-0.75422000	-0.58936900	-0.72586100	1.22006600	0.43952600	1.82422800	NA	-0.77198000	0.44615300	-0.96704600	-0.67085000	0.02967700	-0.71218900	1.60361300	NA	NA	NA	NA	NA	NA	NA
10DGo011	2010	lowland	Doettingen	47	3.02290700	51	10	94	25.64888900	11.37609900	19.68444400	29.69970700	871.40725100	252.84000000	34.64666700	472.82413700	1011.97207700	4.59242600	239.06162300	31.85653500	1452.60554900	55.50856500	230.99463400	2.40492700	574.68138300	47.37111100	27.96285300	0.06666700	3.47178400	0.00000000	NA	0.75784400	0.38356000	0.64121500	-0.09421800	-0.20518900	-0.67718900	-0.97531800	-0.57411400	-0.10735500	-0.28486600	-0.82677400	0.83835500	-0.32764200	-0.27499900	-0.64320200	-0.63580800	-0.73442400	-0.86576900	-0.58754500	-0.74460400	-0.24143800	-0.70107700	-0.50564300	-0.84090100	-0.41790000	NA	-0.66526700	-0.22750900	0.67439800	-0.39220600	-0.90400000	0.45150700	-0.39950800	NA	NA	NA	NA	NA	NA	NA
10DGo012	2010	lowland	Doettingen	6	0.38590300	49	7	49	55.12000000	5.82536800	9.78444400	49.38318200	656.08803600	313.64888900	41.76222200	219.85625300	1300.70494800	36.12066900	145.98435600	28.52940600	1656.82226800	62.34684300	256.87568800	1.79761300	455.21200200	24.68666700	11.13054400	1.08222200	3.51556000	5.36497000	NA	0.50231200	-0.85172800	-1.20487700	0.85870600	-0.34488300	-1.29546200	-0.68970600	-0.95565200	0.03797500	-0.15485700	-1.51558900	1.33398900	1.35823200	-0.50677300	-0.66639100	-0.38065400	-0.71632100	-0.78619000	-0.82710600	-0.96981600	-0.64303000	-0.86710200	-0.33185600	-0.82650200	0.28669700	NA	-0.64608900	-0.19154500	-0.39790900	-0.73613500	-1.21585400	1.48093900	0.17255600	NA	NA	NA	NA	NA	NA	NA
