Pop$	Block	W1	W2	W3	L1	L2	L3	flwsize	lines	colour	pigment	FlwDate	display	DaysFlwing	height	InflorLen	flowers	aborted	damage	fruits	meanfruitsize	fitness	openflws	VOCdate	unknown1	trans2octenal	cis6nonenal	cisbetaocimene	linalool 	bergamotene	germacreneD	alphafarnasene	betacitronellol	methylsalicylate	thujol	cisjasmone	nerolidol	unknown3	transbetaocimene	unknown2	alkene	methylbenzoate	sesquiterpene 	alphacedrene	alphacopaene	betacedrene	methylcinnamate	tscent	
TH	9	9.76	4.91	3.49	5.63	9.25	17.34	7.29	3.00	11.67	35.00	167	4.22	9	65	7	32	1	3	31	4.21	124.25	6.0	21	0.0000	0.7195	3.0161	0.0000	0.1573	0.1163	0.0000	0.0000	0.0454	0.0000	0.0000	0.0000	0.0000	0.0891	0.0000	0.0000	44.8761	0.0000	0.0000	0.0000	0.0522	0.0000	0.2758	49.3477	
WF	8	7.74	4.62	2.79	5.38	8.55	16.62	6.51	0.00	0.00	0.00	166	12.38	8	85	21	74	2	3	72	5.46	385.19	17.0	21	0.3273	2.4168	2.0034	0.4342	1.8480	0.1389	0.0000	0.1028	0.3445	0.0000	0.0000	0.0000	0.0000	0.3054	0.3661	0.0712	42.4334	0.0000	0.0000	0.0000	0.1926	0.0000	0.0000	50.9847	
TH	27	9.29	5.38	3.19	7.49	12.25	21.08	8.22	2.00	10.40	20.80	166	8.13	8	68	8	51	11	1	40	4.86	191.82	15.0	23	0.3481	3.3360	6.4994	0.1159	2.0082	1.3395	0.5071	0.0000	0.4964	0.0000	0.1829	0.0000	0.0213	0.0620	1.4559	0.0396	31.7014	0.1579	0.0000	0.0000	0.2570	0.0000	0.0000	48.5287	
TH	15	9.15	4.45	3.10	5.37	10.68	20.64	7.29	3.00	13.33	40.00	167	2.67	6	32	4	16	5	1	11	4.95	51.93	4.0	24	0.2343	0.8663	0.2655	0.0000	0.2383	0.2244	0.0000	0.0000	0.0000	0.0856	0.0428	0.0085	0.0000	0.0000	0.0000	0.0000	4.4421	0.0724	0.0000	0.0000	0.0289	0.0000	0.0000	6.5091	
TH	14	7.57	4.50	2.89	6.04	10.83	19.22	7.06	2.50	11.00	27.50	166	3.63	8	54	9.5	29	13	0	16	5.96	95.39	7.0	22	0.0881	0.5708	0.6212	0.0343	0.0355	0.5138	0.2457	0.1519	0.2286	0.0061	0.0000	0.0325	0.0000	0.0466	0.1004	0.0000	3.0839	0.0774	0.2381	0.0679	0.1037	0.0306	0.4140	6.6910	
TH	19	8.00	4.71	3.30	5.78	8.70	17.36	6.91	3.00	9.67	29.00	166	3.55	11	73	11	43	14	4	29	4.44	119.90	5.0	22	8.8283	3.2469	2.2283	0.0000	0.1079	0.3486	0.0000	0.0000	0.0000	0.0628	0.0221	0.0146	0.0000	0.0000	0.0000	0.0000	2.2153	0.0536	0.0000	0.1728	0.0347	0.0000	0.0000	17.3357	
WF	4	7.88	4.18	3.00	4.65	9.21	16.82	6.44	0.33	0.67	0.22	173	4.00	11	61.5	11	41	5	9	36	5.07	159.56	2.0	24	0.0000	0.6427	3.6855	0.0457	0.7559	0.1435	0.1038	0.0000	0.0819	0.1425	0.0000	0.0000	0.0341	0.3224	2.4853	0.7217	1.4805	0.0000	0.1123	0.2062	0.0874	0.0739	0.6946	11.8198	
NR	15	8.71	5.21	3.41	5.83	9.16	16.71	7.19	2.00	8.00	16.00	169	2.33	6	55	5	18	9	2	9	5.38	43.03	3.0	25	2.5841	0.5206	0.3161	0.1004	0.5677	0.4008	0.9599	0.1587	0.1644	0.3494	0.1661	0.0082	0.2564	0.2555	0.0000	0.5285	0.8214	0.3205	0.1405	0.0360	0.1342	0.1096	0.0373	8.9364	
NR	25	7.74	4.60	3.07	5.39	8.85	17.19	6.69	2.00	8.67	17.33	169	6.67	6	58	10.5	31	3	1	28	5.08	139.83	11.0	24	1.9064	0.2113	2.2246	0.1452	3.8580	2.1622	1.2353	0.3013	0.2527	3.2868	0.2090	0.0605	0.2698	0.0000	0.0000	0.4563	0.6632	3.7192	1.8025	0.7826	0.2584	1.6621	0.3151	25.7826	
TH	29	8.12	4.63	2.88	5.32	9.91	19.05	6.91	2.00	10.33	20.67	171	3.00	6	58	11.5	20	9	2	11	5.02	50.23	3.0	23	0.1431	1.0397	0.3905	0.0250	0.2687	0.1746	0.0867	0.0000	0.0000	0.0000	0.0967	0.0091	0.0000	0.0000	1.2850	0.0000	0.4495	0.0194	0.0000	0.0000	0.0458	0.0000	0.0000	4.0339	
WF	17	7.40	4.58	2.69	4.99	9.07	16.52	6.39	2.80	7.20	20.16	166	3.60	5	48	5	16	4	4	12	3.86	38.58	6.0	22	0.0000	0.1824	0.0621	0.0000	0.1201	0.0000	0.0000	0.0000	0.0485	0.0000	0.0000	0.0000	0.0000	0.0000	0.5991	0.0000	0.4172	0.0000	0.0000	0.0000	0.0000	0.0000	0.4203	1.8497	
